test,Firstname,Familyname,Subcommittee,Middleinitial,Namesuffix,Affil1Institution,Affil1City,Affil1State,Affil1Country
1,Gerd,Bruder,Associate Program Chairs,,,University of Central Florida,,,USA
2,Rebecca,Fribourg,Associate Program Chairs,,,Ecole Centrale de Nantes,,,France
3,Joseph,Gabbard,Associate Program Chairs,,,Virginia Tech,,,USA
4,Yuta,Itoh,Associate Program Chairs,,,The University of Tokyo,,,Japan
5,Maud,Marchal,Associate Program Chairs,,,"Univ. Rennes, INSA, IRISA",,,France
6,John,Quarles,Associate Program Chairs,,,University of Texas at San Antonio,,,USA
7,Ana,Serrano,Associate Program Chairs,,,Universidad de Zaragoza,,,Spain
8,Xubo,Yang,Associate Program Chairs,,,Shanghai Jiao Tong University,,,China
9,Lonni,Besançon,Supercommittee,,,Linköping University,,,Sweden
10,Bobby,Bodenheimer,Supercommittee,,,Vanderbilt University,,,USA
11,Steven,Feiner,Supercommittee,,,Columbia University,,,USA
12,Anderson,Maciel,Supercommittee,,,Federal University of Rio Grande do Sul,,,Brazil
13,Ryan P.,McMahan,Supercommittee,,,Virginia Tech,,,USA
14,Shohei,Mori,Supercommittee,,,University of Stuttgart,,,Germany
15,Amela,Sadagic,Supercommittee,,,Naval Postgraduate School (NPS),,,USA
16,Richard,Skarbez,Supercommittee,,,La Trobe University,,,Australia
17,Wolfgang,Stuerzlinger,Supercommittee,,,Simon Fraser University,,,Canada
18,Matias,Volonte,Supercommittee,,,Clemson University,,,USA
19,Lili,Wang,Supercommittee,,,Beihang University,,,China
20,Daniel,Zielasko,Supercommittee,,,University of Trier,,,Germany